timestamp,faceRotaion-x,faceRotaion-y,faceRotaion-z,faceRotaion-w,facePosition-x,facePosition-y,facePosition-z,deviceRotation-x,deviceRotation-y,deviceRotation-z,deviceRotation-w,devicePosition-x,devicePosition-y,devicePosition-z,rightEyePotision-x,rightEyePotision-y,rightEyePotision-z,leftEyePotision-x,leftEyePotision-y,leftEyePotision-z,rightEyeLookAtPosition-x,rightEyeLookAtPosition-y,rightEyeLookAtPosition-z,leftEyeLookAtPosition-x,leftEyeLookAtPosition-y,leftEyeLookAtPosition-z,rightEyeLookAtPoint-x,rightEyeLookAtPoint-y,leftEyeLookAtPoint-x,leftEyeLookAtPoint-y,centerEyeLookAtPoint-x,centerEyeLookAtPoint-y,rightEyeBlink,leftEyeBlink,rightEyeDistance,leftEyeDistance,operationType,operationPoint-x,operationPoint-y
2020111917073204700,0.00085494266,-0.010391435,-0.016752763,0.9998053,-0.007494715,-0.033365674,-0.2931181,0.072897375,-0.013799395,0.005393687,0.99722934,0.0,0.0,0.0,-0.039927747,-0.0041713137,-0.26519033,0.025859654,-0.006072903,-0.2637159,0.06949806,-0.02287231,1.731727,-0.022643369,-0.020286849,1.7356459,-70.77944183,782.97137451,419.87484741,767.61737061,182.80076599,104.74228668,8.6289225e-07,8.6401315e-07,0.26821175,0.26505032,none,0.00000000,0.00000000
2020111917073204800,0.0023958127,-0.010895116,-0.01880473,0.99976087,-0.0074715093,-0.032719076,-0.2929826,0.07391262,-0.014265098,0.0035282576,0.9971565,0.0,0.0,0.0,-0.039815053,-0.0034796447,-0.2649983,0.025962457,-0.005653877,-0.2634607,0.06681862,-0.02879093,1.7319969,-0.025367036,-0.025839709,1.735779,-73.72063446,780.79095459,416.98861694,763.26794434,181.17803955,106.51496887,7.9412666e-07,7.951582e-07,0.2679952,0.2647972,none,0.00000000,0.00000000
2020111917073204900,0.0026488362,-0.010821122,-0.019347016,0.99975085,-0.0075759203,-0.03269432,-0.2929355,0.07399651,-0.014273887,0.0030611134,0.9971517,0.0,0.0,0.0,-0.039883964,-0.0034345966,-0.26493138,0.025891362,-0.0056805853,-0.26340422,0.06617228,-0.03003714,1.7320774,-0.026057651,-0.02698679,1.7358073,-75.35238647,779.30187988,415.33294678,761.20446777,179.67457581,108.07321930,7.308412e-07,7.3179046e-07,0.26793873,0.26473463,none,0.00000000,0.00000000
2020111917073205000,0.0025406855,-0.010862696,-0.019405726,0.99974954,-0.0076065958,-0.032710228,-0.29289666,0.07400085,-0.014260058,0.0030720406,0.99715143,0.0,0.0,0.0,-0.039913338,-0.0034405552,-0.26490143,0.025861613,-0.005694108,-0.2633686,0.06509431,-0.029598728,1.732169,-0.027231507,-0.026532017,1.7358181,-77.21720886,779.93725586,413.36816406,761.78057861,177.96472168,109.68305969,6.72599e-07,6.7347264e-07,0.26791358,0.26469657,none,0.00000000,0.00000000
2020111917073205000,0.0020083005,-0.010805055,-0.020499432,0.9997295,-0.0076434584,-0.03278253,-0.2928562,0.07386686,-0.014323358,0.002276765,0.9971626,0.0,0.0,0.0,-0.03988177,-0.0034128316,-0.26488686,0.025888268,-0.0058094244,-0.2633609,0.06540084,-0.027449105,1.7321959,-0.027014785,-0.024170358,1.7358555,-76.48238373,783.61126709,413.93701172,764.28753662,176.37037659,111.65050507,6.189983e-07,6.198023e-07,0.2678941,0.264694,none,0.00000000,0.00000000
2020111917073205100,0.0014043548,-0.011161154,-0.021741519,0.9997003,-0.0074370494,-0.033098876,-0.2928295,0.07327747,-0.014768603,0.0013321132,0.9972014,0.0,0.0,0.0,-0.039620902,-0.003615288,-0.26491734,0.02614189,-0.0061743893,-0.2633435,0.06452274,-0.026351875,1.7322403,-0.027957045,-0.022840133,1.7358556,-75.26975250,783.25140381,414.99246216,762.60675049,175.03465271,114.21900177,5.696691e-07,5.7040904e-07,0.2678882,0.2647099,none,0.00000000,0.00000000
2020111917073205200,0.0006063159,-0.011521237,-0.02233777,0.9996839,-0.007364344,-0.033291455,-0.29291704,0.073089994,-0.014876377,0.00093778846,0.9972139,0.0,0.0,0.0,-0.039531495,-0.003724333,-0.26507404,0.026227068,-0.0063605607,-0.2634511,0.06553066,-0.035167888,1.7319173,-0.027258936,-0.03159842,1.7356747,-72.85639191,768.20764160,416.77291870,746.96905518,173.80004883,118.77884674,5.2427106e-07,5.24952e-07,0.26803145,0.26482975,none,0.00000000,0.00000000
2020111917073205300,0.00087641395,-0.0122759845,-0.02323847,0.99965423,-0.007107303,-0.032981984,-0.29301834,0.07377995,-0.015416994,0.00018675378,0.99715537,0.0,0.0,0.0,-0.03926359,-0.003371736,-0.26520866,0.026487567,-0.006127,-0.26348713,0.06577184,-0.05043315,1.7314768,-0.027191013,-0.046787966,1.7353791,-69.86394501,747.72717285,419.32403564,725.58880615,172.83898926,125.30881500,4.8249086e-07,4.831175e-07,0.26812056,0.26488602,none,0.00000000,0.00000000
2020111917073205400,0.00043677317,-0.012577893,-0.023289721,0.9996495,-0.007109533,-0.03306794,-0.29301262,0.07377995,-0.015416994,0.00018675378,0.99715537,0.0,0.0,0.0,-0.039278656,-0.0034292527,-0.26524812,0.026471179,-0.0061904546,-0.2634858,0.06568254,-0.05753483,1.7312629,-0.027426142,-0.053929992,1.7352179,-70.10051727,735.91290283,418.82342529,713.74853516,172.15818787,132.10955811,4.440402e-07,4.446169e-07,0.26816252,0.26488453,none,0.00000000,0.00000000
2020111917073205400,0.00033109548,-0.012701028,-0.022731341,0.9996608,-0.0071898876,-0.033133924,-0.29287645,0.07372193,-0.01516207,0.00091088243,0.9971632,0.0,0.0,0.0,-0.039398722,-0.0035246834,-0.2651266,0.026353732,-0.006212225,-0.26334772,0.06583297,-0.06458537,1.7311698,-0.027385145,-0.061131172,1.7351761,-71.07437134,723.84027100,417.80096436,702.28802490,171.72491455,139.25444031,4.0865376e-07,4.0918448e-07,0.26806116,0.26473594,none,0.00000000,0.00000000
